"SUID","__mclCluster","name","selected","shared name"
"6511","7","APOF","false","APOF"
"10867","7","TREM2","false","TREM2"
"6645","7","LBP","false","LBP"
"11125","7","IGHM","false","IGHM"
"6774","7","LCAT","false","LCAT"
"6902","7","CD40LG","false","CD40LG"
"7416","7","CLEC4G","false","CLEC4G"
"7544","7","ABCA13","false","ABCA13"
"10234","7","GOT1L1","false","GOT1L1"
"11263","7","CNMD","false","CNMD"
"11138","7","IGKV2D-40","false","IGKV2D-40"
"9347","7","ZNF558","false","ZNF558"
"11020","7","HSH2D","false","HSH2D"
"5901","7","APOA1","false","APOA1"
"8461","7","APOA2","false","APOA2"
"11150","7","HPR","false","HPR"
"8462","7","DGAT1","false","DGAT1"
"8463","7","APOD","false","APOD"
"8854","7","RNF128","false","RNF128"
"6935","7","APOC1","false","APOC1"
"6936","7","SAA2","false","SAA2"
"6937","7","APOA1BP","false","APOA1BP"
"8478","7","SERPINA1","false","SERPINA1"
"6558","7","PLTP","false","PLTP"
"10150","7","APOE","false","APOE"
"8488","7","C3","false","C3"
"6323","7","TNFRSF10C","false","TNFRSF10C"
"7862","7","HNF1A","false","HNF1A"
"7606","7","SOCS4","false","SOCS4"
"10936","7","PON1","false","PON1"
"11066","7","IGHA1","false","IGHA1"
"6203","7","GALNT4","false","GALNT4"
"8508","7","IGHG1","false","IGHG1"
"9922","7","AHSG","false","AHSG"
"7877","7","VKORC1","false","VKORC1"
"7884","7","ABCA6","false","ABCA6"
"7885","7","SMPDL3A","false","SMPDL3A"
"7886","7","APOC3","false","APOC3"
"7888","7","PDE4B","false","PDE4B"
"6609","7","GPLD1","false","GPLD1"
"7889","7","CP","false","CP"
"7890","7","LECT1","false","LECT1"
"9300","7","GDPD1","false","GDPD1"
"7893","7","FAM83C","false","FAM83C"
"7894","7","DNTT","false","DNTT"
"6486","7","APOL1","false","APOL1"
"7895","7","ERVK-10","false","ERVK-10"
"11225","7","CFHR1","false","CFHR1"
"7898","7","SERTAD3","false","SERTAD3"
"7899","7","SPEF2","false","SPEF2"
"7900","7","ROBO3","false","ROBO3"
"7389","7","MIS12","false","MIS12"
"7903","7","FAM169A","false","FAM169A"
"7905","7","IGKV2-40","false","IGKV2-40"
"7909","7","KIAA0754","false","KIAA0754"
"7913","7","TXNDC2","false","TXNDC2"
"9836","7","HP","false","HP"
